work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,work_setting,company_location,company_size,salary_in_usd
2020,Mid-level,Full-time,Data Scientist,DE,0,On-site,DE,Large,79833
2020,Senior-level,Full-time,Machine Learning Scientist,JP,0,On-site,JP,Small,260000
2020,Senior-level,Full-time,Big Data Engineer,GB,50,Hybrid,GB,Medium,109024
2020,Mid-level,Full-time,Other,HN,0,On-site,HN,Small,20000
2020,Senior-level,Full-time,Machine Learning Engineer,US,50,Hybrid,US,Large,150000
2020,Entry-level,Full-time,Data Analyst,US,100,Remote,US,Large,72000
2020,Senior-level,Full-time,Other,US,100,Remote,US,Small,190000
2020,Mid-level,Full-time,Data Scientist,HU,50,Hybrid,HU,Large,35735
2020,Mid-level,Full-time,Business Data Analyst,US,100,Remote,US,Large,135000
2020,Senior-level,Full-time,Lead Data Engineer,NZ,50,Hybrid,NZ,Small,125000
2020,Entry-level,Full-time,Data Scientist,FR,0,On-site,FR,Small,51321
2020,Mid-level,Full-time,Data Scientist,IN,0,On-site,IN,Large,40481
2020,Entry-level,Full-time,Data Scientist,FR,0,On-site,FR,Medium,39916
2020,Mid-level,Full-time,Other,US,100,Remote,US,Large,87000
2020,Mid-level,Full-time,Data Analyst,US,100,Remote,US,Large,85000
2020,Mid-level,Full-time,Data Analyst,PK,50,Hybrid,PK,Large,8000
2020,Entry-level,Full-time,Data Engineer,JP,100,Remote,JP,Small,41689
2020,Senior-level,Full-time,Big Data Engineer,PL,100,Remote,GB,Small,114047
2020,Entry-level,Full-time,Data Science Consultant,IN,50,Hybrid,IN,Medium,5707
2020,Mid-level,Full-time,Lead Data Engineer,PT,100,Remote,US,Medium,56000
2020,Mid-level,Full-time,Machine Learning Engineer,CN,0,On-site,CN,Medium,43331
2020,Mid-level,Full-time,Other,IN,100,Remote,IN,Large,6072
2020,Senior-level,Full-time,Data Engineer,GR,50,Hybrid,GR,Large,47899
2020,Mid-level,Full-time,BI Data Analyst,US,0,On-site,US,Medium,98000
2020,Mid-level,Full-time,Other,AE,0,On-site,AE,Large,115000
2020,Executive-level,Full-time,Director of Data Science,US,100,Remote,US,Large,325000
2020,Entry-level,Full-time,Research Scientist,NL,50,Hybrid,NL,Large,42000
2020,Senior-level,Full-time,Data Engineer,MX,0,On-site,MX,Small,33511
2020,Entry-level,Contract,Business Data Analyst,US,100,Remote,US,Large,100000
2020,Senior-level,Full-time,Other,CA,50,Hybrid,CA,Large,117104
2020,Mid-level,Full-time,Data Engineering Manager,DE,100,Remote,DE,Small,59303
2020,Entry-level,Full-time,Big Data Engineer,US,100,Remote,US,Large,70000
2020,Senior-level,Full-time,Data Scientist,GR,100,Remote,US,Large,68428
2020,Mid-level,Full-time,Data Analyst,FR,50,Hybrid,FR,Large,46759
2020,Mid-level,Full-time,Data Engineer,AT,50,Hybrid,AT,Large,74130
2020,Mid-level,Full-time,Data Science Consultant,US,100,Remote,US,Large,103000
2020,Entry-level,Full-time,Machine Learning Engineer,US,50,Hybrid,US,Large,250000
2020,Entry-level,Full-time,Data Analyst,NG,100,Remote,NG,Small,10000
2020,Entry-level,Full-time,Machine Learning Engineer,US,100,Remote,US,Small,138000
2020,Mid-level,Full-time,Data Scientist,PH,100,Remote,US,Small,45760
2020,Executive-level,Full-time,Data Engineering Manager,ES,50,Hybrid,ES,Large,79833
2020,Mid-level,Full-time,Other,PT,0,On-site,PT,Medium,50180
2020,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,106000
2020,Mid-level,Full-time,Data Engineer,GB,50,Hybrid,GB,Large,112872
2020,Entry-level,Part-time,ML Engineer,DE,100,Remote,DE,Small,15966
2020,Mid-level,Full-time,Data Scientist,GB,100,Remote,GB,Small,76958
2020,Senior-level,Full-time,Data Engineer,US,100,Remote,US,Large,188000
2020,Mid-level,Full-time,Data Scientist,US,100,Remote,US,Large,105000
2020,Mid-level,Full-time,Data Engineer,FR,50,Hybrid,FR,Large,70139
2020,Entry-level,Full-time,Data Analyst,IN,0,On-site,IN,Small,6072
2020,Entry-level,Full-time,Data Analyst,US,100,Remote,US,Large,91000
2020,Entry-level,Full-time,AI Scientist,DK,50,Hybrid,DK,Small,45896
2020,Entry-level,Full-time,Data Engineer,PK,100,Remote,DE,Large,54742
2020,Senior-level,Freelance,Computer Vision Engineer,RU,100,Remote,US,Small,60000
2020,Senior-level,Full-time,Principal Data Scientist,DE,100,Remote,DE,Medium,148261
2020,Mid-level,Full-time,Data Scientist,ES,100,Remote,ES,Medium,38776
2020,Mid-level,Full-time,Data Scientist,US,100,Remote,US,Medium,118000
2020,Senior-level,Full-time,Data Scientist,US,50,Hybrid,US,Large,120000
2020,Mid-level,Full-time,Data Scientist,US,100,Remote,US,Medium,138350
2020,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,110000
2020,Mid-level,Full-time,Data Engineer,ES,100,Remote,US,Medium,130800
2020,Entry-level,Part-time,Data Scientist,IT,50,Hybrid,IT,Small,21669
2020,Senior-level,Full-time,Machine Learning Engineer,HR,100,Remote,HR,Small,45618
2020,Entry-level,Full-time,Data Scientist,DE,50,Hybrid,DE,Small,62726
2020,Entry-level,Full-time,Data Scientist,DE,0,On-site,DE,Small,49268
2020,Senior-level,Full-time,Data Science Manager,US,100,Remote,US,Medium,190200
2020,Entry-level,Full-time,Data Scientist,US,100,Remote,US,Small,105000
2020,Senior-level,Full-time,Data Scientist,AT,0,On-site,AT,Small,91237
2020,Mid-level,Full-time,Data Scientist,FR,50,Hybrid,LU,Small,62726
2020,Mid-level,Full-time,Data Scientist,FR,50,Hybrid,FR,Small,42197
2021,Entry-level,Full-time,Research Scientist,GB,50,Hybrid,GB,Large,82528
2021,Executive-level,Full-time,BI Data Analyst,IN,100,Remote,US,Large,150000
2021,Executive-level,Full-time,Head of Data,US,100,Remote,US,Large,235000
2021,Senior-level,Full-time,Data Scientist,FR,50,Hybrid,FR,Large,53192
2021,Mid-level,Full-time,BI Data Analyst,US,100,Remote,US,Medium,100000
2021,Mid-level,Part-time,Other,IN,50,Hybrid,IN,Medium,5409
2021,Mid-level,Contract,ML Engineer,US,100,Remote,US,Large,270000
2021,Entry-level,Full-time,Data Analyst,US,100,Remote,US,Medium,80000
2021,Senior-level,Full-time,Other,DE,100,Remote,DE,Large,79197
2021,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,140000
2021,Mid-level,Full-time,Applied Data Scientist,GB,50,Hybrid,CA,Large,54238
2021,Mid-level,Full-time,Machine Learning Engineer,ES,100,Remote,ES,Small,47282
2021,Executive-level,Full-time,Director of Data Science,IT,100,Remote,PL,Large,153667
2021,Mid-level,Full-time,Data Engineer,PL,100,Remote,PL,Large,28476
2021,Entry-level,Full-time,Data Analyst,FR,50,Hybrid,FR,Medium,59102
2021,Mid-level,Full-time,Other,US,100,Remote,US,Large,110000
2021,Senior-level,Full-time,Other,US,100,Remote,US,Large,170000
2021,Senior-level,Full-time,Data Analyst,BG,100,Remote,US,Small,80000
2021,Senior-level,Full-time,Other,GR,100,Remote,DK,Large,88654
2021,Entry-level,Full-time,Data Science Consultant,DE,100,Remote,DE,Small,76833
2021,Mid-level,Full-time,Other,IN,100,Remote,IN,Large,19609
2021,Senior-level,Full-time,Lead Data Engineer,US,0,On-site,US,Large,276000
2021,Entry-level,Full-time,Data Scientist,IN,50,Hybrid,IN,Large,29751
2021,Mid-level,Full-time,Other,SG,50,Hybrid,SG,Large,89294
2021,Entry-level,Part-time,AI Scientist,BR,100,Remote,US,Small,12000
2021,Entry-level,Full-time,Other,US,100,Remote,US,Medium,70000
2021,Mid-level,Full-time,Other,DE,100,Remote,US,Small,95746
2021,Mid-level,Full-time,Data Analyst,US,0,On-site,US,Large,75000
2021,Senior-level,Full-time,Data Engineer,US,100,Remote,US,Large,150000
2021,Mid-level,Full-time,BI Data Analyst,HU,50,Hybrid,US,Large,36259
2021,Mid-level,Full-time,Data Analyst,US,0,On-site,US,Large,62000
2021,Mid-level,Full-time,Data Scientist,US,0,On-site,US,Large,73000
2021,Mid-level,Full-time,Data Analyst,GB,50,Hybrid,GB,Large,51519
2021,Mid-level,Full-time,Research Scientist,CA,100,Remote,CA,Large,187442
2021,Senior-level,Full-time,Data Engineer,US,100,Remote,US,Small,115000
2021,Senior-level,Full-time,Data Engineer,US,100,Remote,US,Medium,150000
2021,Entry-level,Full-time,Data Engineer,IN,100,Remote,IN,Large,30428
2021,Senior-level,Full-time,Machine Learning Engineer,DE,50,Hybrid,DE,Large,94564
2021,Senior-level,Full-time,Other,GB,100,Remote,GB,Medium,113476
2021,Senior-level,Full-time,Lead Data Engineer,GB,100,Remote,GB,Small,103160
2021,Entry-level,Part-time,AI Scientist,PK,100,Remote,US,Medium,12000
2021,Mid-level,Full-time,Data Engineer,NL,100,Remote,NL,Large,45391
2021,Entry-level,Full-time,Machine Learning Scientist,US,100,Remote,US,Large,225000
2021,Mid-level,Full-time,Data Scientist,NG,100,Remote,NG,Large,50000
2021,Mid-level,Full-time,Other,GR,100,Remote,GR,Medium,40189
2021,Entry-level,Full-time,Data Analyst,US,100,Remote,US,Small,90000
2021,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,200000
2021,Mid-level,Full-time,Big Data Engineer,ES,50,Hybrid,RO,Medium,60000
2021,Senior-level,Full-time,Other,US,100,Remote,US,Medium,200000
2021,Entry-level,Full-time,Data Analyst,US,100,Remote,US,Medium,50000
2021,Entry-level,Full-time,Applied Data Scientist,GB,0,On-site,GB,Large,110037
2021,Entry-level,Part-time,Data Analyst,ES,50,Hybrid,ES,Medium,10354
2021,Mid-level,Full-time,Principal Data Scientist,US,100,Remote,US,Large,151000
2021,Senior-level,Full-time,Machine Learning Scientist,US,50,Hybrid,US,Small,120000
2021,Mid-level,Full-time,Data Scientist,IN,0,On-site,IN,Small,9466
2021,Entry-level,Full-time,Machine Learning Engineer,IN,100,Remote,IN,Small,20000
2021,Senior-level,Full-time,Other,IN,50,Hybrid,IN,Large,40570
2021,Entry-level,Full-time,Other,IQ,50,Hybrid,IQ,Small,100000
2021,Entry-level,Full-time,Data Scientist,FR,50,Hybrid,FR,Medium,49646
2021,Mid-level,Full-time,Other,VN,100,Remote,US,Medium,38400
2021,Senior-level,Full-time,Computer Vision Engineer,BR,100,Remote,BR,Medium,24000
2021,Entry-level,Full-time,Data Scientist,US,0,On-site,US,Small,100000
2021,Mid-level,Full-time,Data Analyst,US,100,Remote,US,Medium,90000
2021,Mid-level,Full-time,ML Engineer,JP,50,Hybrid,JP,Small,63711
2021,Mid-level,Full-time,ML Engineer,JP,50,Hybrid,JP,Small,77364
2021,Senior-level,Full-time,Principal Data Scientist,US,0,On-site,US,Large,220000
2021,Entry-level,Full-time,Data Scientist,US,100,Remote,US,Medium,80000
2021,Mid-level,Full-time,Data Analyst,US,100,Remote,US,Large,135000
2021,Senior-level,Full-time,Data Science Manager,US,0,On-site,US,Large,240000
2021,Senior-level,Full-time,Data Engineering Manager,US,0,On-site,US,Large,150000
2021,Mid-level,Full-time,Data Scientist,US,100,Remote,US,Small,82500
2021,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,100000
2021,Senior-level,Full-time,Machine Learning Engineer,BE,50,Hybrid,BE,Medium,82744
2021,Mid-level,Full-time,Research Scientist,FR,50,Hybrid,FR,Medium,62649
2021,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,90000
2021,Senior-level,Full-time,Data Engineering Manager,US,100,Remote,US,Large,153000
2021,Senior-level,Full-time,Other,BR,100,Remote,US,Small,160000
2021,Senior-level,Full-time,Director of Data Science,JP,0,On-site,JP,Small,168000
2021,Mid-level,Full-time,Data Scientist,US,100,Remote,US,Medium,150000
2021,Mid-level,Full-time,Data Scientist,CA,100,Remote,CA,Large,75774
2021,Entry-level,Full-time,Data Scientist,UA,100,Remote,UA,Large,13400
2021,Senior-level,Full-time,Data Science Manager,US,100,Remote,US,Large,144000
2021,Senior-level,Full-time,Other,CA,50,Hybrid,CA,Large,127221
2021,Mid-level,Full-time,Data Scientist,SG,100,Remote,IL,Medium,119059
2021,Senior-level,Full-time,Data Analytics Manager,US,100,Remote,US,Medium,120000
2021,Entry-level,Full-time,Machine Learning Engineer,US,100,Remote,US,Small,125000
2021,Executive-level,Full-time,Head of Data,RU,50,Hybrid,RU,Large,230000
2021,Executive-level,Full-time,Other,RU,0,On-site,RU,Medium,85000
2021,Mid-level,Full-time,Data Engineer,MT,50,Hybrid,MT,Large,28369
2021,Entry-level,Full-time,Data Science Consultant,DE,50,Hybrid,DE,Large,63831
2021,Executive-level,Full-time,Director of Data Science,DE,50,Hybrid,DE,Medium,130026
2021,Senior-level,Full-time,Other,US,100,Remote,US,Large,165000
2021,Entry-level,Full-time,Data Engineer,US,100,Remote,US,Large,80000
2021,Executive-level,Full-time,Director of Data Science,US,0,On-site,US,Large,250000
2021,Entry-level,Full-time,BI Data Analyst,US,50,Hybrid,US,Small,55000
2021,Mid-level,Full-time,Data Architect,US,100,Remote,US,Large,150000
2021,Mid-level,Full-time,Data Architect,US,100,Remote,US,Large,170000
2021,Mid-level,Full-time,Data Engineer,GB,100,Remote,GB,Large,82528
2021,Entry-level,Full-time,Data Analyst,US,100,Remote,US,Small,60000
2021,Senior-level,Full-time,Principal Data Scientist,US,100,Remote,US,Large,235000
2021,Senior-level,Full-time,Research Scientist,PT,50,Hybrid,PT,Large,60757
2021,Senior-level,Full-time,Data Engineering Manager,US,100,Remote,US,Large,174000
2021,Mid-level,Full-time,Data Scientist,MX,0,On-site,MX,Small,2859
2021,Mid-level,Full-time,Data Scientist,CL,100,Remote,CL,Large,40038
2021,Entry-level,Full-time,Machine Learning Engineer,US,50,Hybrid,US,Small,81000
2021,Mid-level,Full-time,Data Scientist,IN,100,Remote,US,Small,5679
2021,Mid-level,Full-time,Big Data Engineer,IN,0,On-site,IN,Large,22611
2021,Mid-level,Full-time,Data Scientist,DE,50,Hybrid,DE,Large,90734
2021,Mid-level,Full-time,Data Engineer,RO,0,On-site,US,Large,26005
2021,Senior-level,Full-time,Other,GB,50,Hybrid,GB,Large,61896
2021,Mid-level,Freelance,Machine Learning Scientist,PK,50,Hybrid,PK,Medium,12000
2021,Mid-level,Full-time,Data Engineer,IR,100,Remote,IR,Medium,4000
2021,Senior-level,Full-time,Other,VN,100,Remote,GB,Medium,50000
2021,Executive-level,Full-time,Data Science Consultant,FR,100,Remote,ES,Small,69741
2021,Senior-level,Full-time,Data Engineer,RO,50,Hybrid,GB,Small,76833
2021,Mid-level,Full-time,Machine Learning Engineer,JP,50,Hybrid,JP,Small,74000
2021,Senior-level,Full-time,Data Science Manager,US,100,Remote,FR,Large,152000
2021,Entry-level,Full-time,Machine Learning Engineer,CO,50,Hybrid,CO,Medium,21844
2021,Mid-level,Full-time,Big Data Engineer,MD,0,On-site,MD,Small,18000
2021,Senior-level,Full-time,Data Science Manager,US,100,Remote,US,Large,174000
2021,Senior-level,Full-time,Research Scientist,CA,50,Hybrid,CA,Large,96113
2021,Mid-level,Full-time,Data Scientist,US,50,Hybrid,US,Large,147000
2021,Entry-level,Full-time,BI Data Analyst,KE,100,Remote,KE,Small,9272
2021,Senior-level,Full-time,Machine Learning Engineer,IN,100,Remote,IN,Large,24342
2021,Senior-level,Full-time,Data Science Manager,IN,50,Hybrid,US,Large,54094
2021,Entry-level,Full-time,Data Science Consultant,US,100,Remote,US,Small,90000
2021,Mid-level,Full-time,Data Scientist,DE,50,Hybrid,AT,Medium,61467
2021,Senior-level,Full-time,Other,US,100,Remote,US,Medium,195000
2021,Mid-level,Full-time,Data Scientist,ES,100,Remote,ES,Large,37825
2021,Senior-level,Full-time,Research Scientist,FR,100,Remote,US,Small,50000
2021,Mid-level,Full-time,Data Scientist,US,100,Remote,US,Large,160000
2021,Mid-level,Full-time,Data Scientist,BR,0,On-site,BR,Small,12901
2021,Senior-level,Full-time,Machine Learning Engineer,US,100,Remote,US,Large,200000
2021,Senior-level,Full-time,Data Engineer,US,0,On-site,US,Medium,165000
2021,Mid-level,Freelance,Data Engineer,IT,0,On-site,US,Large,20000
2021,Senior-level,Full-time,Data Analytics Manager,US,0,On-site,US,Large,120000
2021,Mid-level,Full-time,Machine Learning Engineer,SI,50,Hybrid,SI,Large,24823
2021,Mid-level,Full-time,Research Scientist,FR,50,Hybrid,FR,Small,56738
2021,Mid-level,Full-time,Data Engineer,HK,50,Hybrid,GB,Small,66022
2021,Entry-level,Full-time,Big Data Engineer,IN,0,On-site,CH,Large,5882
2021,Entry-level,Full-time,Machine Learning Engineer,DE,50,Hybrid,DE,Medium,24823
2021,Senior-level,Full-time,Other,US,100,Remote,US,Large,185000
2021,Entry-level,Part-time,Computer Vision Engineer,DK,50,Hybrid,DK,Small,28609
2021,Mid-level,Full-time,Data Scientist,DE,50,Hybrid,DE,Large,90734
2021,Mid-level,Full-time,Machine Learning Engineer,BE,100,Remote,BE,Medium,88654
2021,Senior-level,Full-time,Data Analytics Manager,US,100,Remote,US,Large,140000
2021,Mid-level,Full-time,Machine Learning Engineer,PL,100,Remote,PL,Large,46597
2021,Mid-level,Full-time,Data Scientist,GB,50,Hybrid,GB,Large,116914
2021,Mid-level,Full-time,Data Scientist,IN,0,On-site,IN,Medium,33808
2021,Mid-level,Full-time,Data Scientist,GB,50,Hybrid,GB,Large,56256
2021,Senior-level,Full-time,Machine Learning Scientist,US,100,Remote,CA,Large,225000
2021,Senior-level,Full-time,Data Scientist,CA,100,Remote,CA,Small,87738
2021,Mid-level,Full-time,Data Scientist,DE,50,Hybrid,DE,Large,88654
2021,Senior-level,Full-time,Data Scientist,US,0,On-site,US,Large,135000
2021,Senior-level,Full-time,Data Analyst,CA,100,Remote,CA,Medium,71786
2021,Entry-level,Full-time,Big Data Engineer,IN,100,Remote,IN,Large,16228
2021,Senior-level,Full-time,ML Engineer,US,100,Remote,US,Small,256000
2021,Senior-level,Full-time,Other,US,100,Remote,US,Large,200000
2021,Senior-level,Full-time,Data Analyst,US,100,Remote,US,Large,200000
2021,Mid-level,Full-time,Data Architect,US,100,Remote,US,Large,180000
2021,Mid-level,Full-time,Other,US,0,On-site,US,Small,110000
2021,Mid-level,Full-time,Research Scientist,CA,100,Remote,CA,Medium,63810
2021,Mid-level,Full-time,Data Scientist,ES,100,Remote,ES,Medium,46809
2021,Entry-level,Full-time,Data Scientist,VN,0,On-site,VN,Medium,4000
2021,Entry-level,Full-time,Data Engineer,IN,50,Hybrid,IN,Medium,21637
2021,Senior-level,Full-time,Data Scientist,CA,100,Remote,CA,Large,103691
2021,Mid-level,Full-time,Data Analyst,US,100,Remote,US,Large,80000
2021,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,110000
2021,Senior-level,Full-time,Data Scientist,US,100,Remote,US,Large,165000
2021,Entry-level,Full-time,AI Scientist,IN,100,Remote,AS,Small,18053
2021,Mid-level,Full-time,Data Engineer,GB,50,Hybrid,GB,Large,72212
2021,Entry-level,Full-time,Data Scientist,FR,50,Hybrid,FR,Large,36643
2021,Mid-level,Full-time,Data Engineer,TR,0,On-site,TR,Medium,12103
2021,Senior-level,Full-time,Data Engineer,GB,50,Hybrid,GB,Large,96282
2021,Senior-level,Full-time,Other,US,100,Remote,US,Medium,170000
2021,Mid-level,Full-time,Data Scientist,US,50,Hybrid,US,Large,115000
2021,Entry-level,Full-time,Data Scientist,US,100,Remote,US,Small,90000
2021,Entry-level,Full-time,Data Scientist,IN,100,Remote,IN,Medium,28399
2021,Mid-level,Full-time,Data Analyst,US,100,Remote,US,Large,93000
2021,Senior-level,Full-time,Other,CA,50,Hybrid,CA,Medium,99703
2021,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,200000
2021,Senior-level,Full-time,Principal Data Scientist,DE,100,Remote,DE,Medium,173762
2021,Senior-level,Full-time,Machine Learning Engineer,US,50,Hybrid,US,Large,185000
2021,Executive-level,Full-time,Director of Data Science,DE,0,On-site,DE,Large,141846
2021,Mid-level,Full-time,Data Scientist,US,50,Hybrid,US,Large,130000
2021,Senior-level,Full-time,Data Analyst,DE,50,Hybrid,DE,Large,63831
2021,Mid-level,Full-time,Data Scientist,IN,100,Remote,IN,Small,16904
2021,Senior-level,Full-time,Machine Learning Engineer,IN,0,On-site,IN,Large,66265
2021,Mid-level,Full-time,Data Scientist,RS,100,Remote,DE,Small,25532
2021,Senior-level,Full-time,Lead Data Engineer,PR,50,Hybrid,US,Small,160000
2021,Mid-level,Full-time,Data Engineer,US,0,On-site,US,Medium,93150
2021,Mid-level,Full-time,Data Engineer,US,0,On-site,US,Medium,111775
2021,Mid-level,Full-time,Data Engineer,TR,100,Remote,TR,Medium,28016
2021,Entry-level,Full-time,Data Engineer,DE,50,Hybrid,DE,Medium,65013
2021,Entry-level,Full-time,Data Engineer,US,100,Remote,US,Large,72500
2021,Senior-level,Full-time,Computer Vision Engineer,BR,0,On-site,BR,Medium,18907
2021,Entry-level,Full-time,Data Science Consultant,DE,0,On-site,DE,Large,76833
2021,Entry-level,Full-time,Machine Learning Engineer,NL,100,Remote,DE,Small,85000
2021,Senior-level,Full-time,Data Scientist,FR,50,Hybrid,FR,Medium,77684
2021,Entry-level,Full-time,Data Scientist,US,100,Remote,US,Medium,100000
2021,Entry-level,Full-time,Data Scientist,US,50,Hybrid,US,Large,58000
2021,Senior-level,Full-time,AI Scientist,ES,100,Remote,ES,Large,55000
2021,Senior-level,Full-time,Data Scientist,TR,50,Hybrid,TR,Large,20171
2021,Entry-level,Full-time,Business Data Analyst,LU,100,Remote,LU,Large,59102
2021,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,112000
2021,Entry-level,Full-time,Research Scientist,JE,0,On-site,CN,Large,100000
2021,Mid-level,Part-time,Data Engineer,NL,100,Remote,NL,Large,69741
2021,Senior-level,Contract,Other,US,100,Remote,US,Medium,105000
2021,Mid-level,Full-time,Research Scientist,CZ,50,Hybrid,CZ,Large,69999
2021,Senior-level,Full-time,Data Science Manager,IN,50,Hybrid,IN,Large,94665
2021,Senior-level,Full-time,Head of Data,SI,100,Remote,SI,Large,102839
2021,Mid-level,Full-time,Data Scientist,US,50,Hybrid,US,Large,109000
2021,Mid-level,Full-time,Machine Learning Engineer,IT,50,Hybrid,IT,Large,51064
2022,Senior-level,Full-time,Data Engineer,US,100,Remote,US,Medium,135000
2022,Senior-level,Full-time,Data Analyst,US,100,Remote,US,Medium,155000
2022,Senior-level,Full-time,Data Analyst,US,100,Remote,US,Medium,120600
2022,Mid-level,Full-time,Data Scientist,US,0,On-site,US,Medium,130000
2022,Mid-level,Full-time,Data Scientist,US,0,On-site,US,Medium,90000
2022,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Medium,170000
2022,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Medium,150000
2022,Senior-level,Full-time,Data Analyst,US,100,Remote,US,Medium,102100
2022,Senior-level,Full-time,Data Analyst,US,100,Remote,US,Medium,84900
2022,Senior-level,Full-time,Data Scientist,US,100,Remote,US,Medium,136620
2022,Senior-level,Full-time,Data Scientist,US,100,Remote,US,Medium,99360
2022,Senior-level,Full-time,Data Scientist,GB,0,On-site,GB,Medium,117789
2022,Senior-level,Full-time,Data Scientist,GB,0,On-site,GB,Medium,104702
2022,Senior-level,Full-time,Data Scientist,US,100,Remote,US,Medium,146000
2022,Senior-level,Full-time,Data Scientist,US,100,Remote,US,Medium,123000
2022,Entry-level,Full-time,Data Engineer,GB,100,Remote,GB,Medium,52351
